Date,Total Traffic Volume,Exchange Rate,Gross Domestic Product (GDP),Export growth rate,Import growth rate,Nationwide Consumer Price Index,Regular Unleaded Gasoline,Diesel Fuel for Automobiles,number of car ownership,Economic Growth Rate,Interest Rate Category,Export Price Category,Import Price Category
2011-01-14,6270644.0,1124.519355,328096.0,32.68725511,12.58125132,89.79548387,1824.36,1620.19,18268870,High Growth,Low,Low,Medium
2011-01-15,6215504.0,1124.751613,328096.0,31.76319781,12.50288603,89.74529032,1824.58,1620.32,18258044,High Growth,Low,Low,Low
2011-01-16,4596628.0,1124.983871,328096.0,30.83914051,12.42452075,89.69509677,1824.75,1620.53,18247218,High Growth,Low,Low,Low
2011-01-17,5740522.0,1125.216129,328096.0,29.91508321,12.34615547,89.64490323,1825.26,1621.16,18236393,High Growth,Low,Low,Low
2011-01-18,5807639.0,1125.448387,328096.0,28.99102591,12.26779018,89.59470968,1826.64,1622.69,18225567,High Growth,Low,Low,Low
2011-01-19,5920447.0,1125.680645,328096.0,28.06696861,12.1894249,89.54451613,1827.39,1623.53,18214741,High Growth,Low,Low,Low
2011-01-20,5999017.0,1125.912903,328096.0,27.14291131,12.11105962,89.49432258,1828.05,1624.21,18203915,High Growth,Low,Low,Low
2011-01-21,6540631.0,1126.145161,328096.0,26.21885401,12.03269433,89.44412903,1828.58,1624.78,18193089,High Growth,Low,Low,Low
2011-01-22,6395061.0,1126.377419,328096.0,25.29479671,11.95432905,89.39393548,1829.07,1625.2,18182263,High Growth,Low,Low,Low
2011-01-23,4735141.0,1126.609677,328096.0,24.37073941,11.87596377,89.34374194,1829.3,1625.21,18171437,High Growth,Low,Low,Low
2011-01-24,5359900.0,1126.841935,328096.0,23.44668212,11.79759848,89.29354839,1829.69,1625.81,18160611,High Growth,Low,Low,Low
2011-01-25,5839831.0,1127.074194,328096.0,22.52262482,11.7192332,89.24335484,1830.89,1627.44,18149785,High Growth,Low,Low,Low
2011-01-26,5973703.0,1127.306452,328096.0,21.59856752,11.64086792,89.19316129,1831.61,1628.4,18138959,High Growth,Low,Low,Low
2011-01-27,6074548.0,1127.53871,328096.0,20.67451022,11.56250263,89.14296774,1832.5,1629.49,18128133,High Growth,Low,Low,Low
2011-01-28,6441586.0,1127.770968,328096.0,19.75045292,11.48413735,89.09277419,1833.39,1630.53,18117307,High Growth,Low,Low,Low
2011-01-29,5747562.0,1128.003226,328096.0,18.82639562,11.40577207,89.04258065,1834.21,1631.24,18106481,High Growth,Low,Low,Low
2011-01-30,4201981.0,1128.235484,328096.0,17.90233832,11.32740678,88.9923871,1834.62,1631.66,18095655,High Growth,Low,Low,Low
2011-01-31,6024860.0,1128.467742,328096.0,16.97828102,11.2490415,88.94219355,1835.48,1632.73,18084829,High Growth,Low,Low,Low
2011-02-01,6440455.0,1128.7,328096.0,16.55150621,11.25131662,88.892,1836.57,1634.49,18074004,High Growth,Low,Low,Low
2011-02-02,6024050.0,1127.557143,328096.0,16.95639351,11.38845587,88.90435714,1837.34,1635.33,18075972,High Growth,Low,Low,Low
2011-02-03,7929925.0,1126.414286,328096.0,17.36128081,11.52559511,88.91671429,1837.61,1635.65,18077941,High Growth,Low,Low,Low
2011-02-04,6512531.0,1125.271429,328096.0,17.76616811,11.66273436,88.92907143,1837.94,1635.93,18079910,High Growth,Low,Low,Low
2011-02-05,5898564.0,1124.128571,328096.0,18.1710554,11.7998736,88.94142857,1838.18,1636.18,18081878,High Growth,Low,Low,Low
2011-02-06,4435220.0,1122.985714,328096.0,18.5759427,11.93701285,88.95378571,1838.34,1636.35,18083847,High Growth,Low,Low,Low
2011-02-07,5636547.0,1121.842857,328096.0,18.98083,12.0741521,88.96614286,1839.01,1637.18,18085816,High Growth,Low,Low,Low
2011-02-08,5809283.0,1120.7,328096.0,19.3857173,12.21129134,88.9785,1842.0,1640.42,18087784,High Growth,Low,Low,Low
2011-02-09,5913192.0,1119.557143,328096.0,19.79060459,12.34843059,88.99085714,1844.45,1643.12,18089753,High Growth,Low,Low,Low
2011-02-10,5938146.0,1118.414286,328096.0,20.19549189,12.48556983,89.00321429,1846.41,1645.57,18091722,High Growth,Low,Low,Low
2011-02-11,6340986.0,1117.271429,328096.0,20.60037919,12.62270908,89.01557143,1847.81,1647.39,18093690,High Growth,Low,Low,Medium
2011-02-12,5990198.0,1116.128571,328096.0,21.00526648,12.75984833,89.02792857,1848.82,1648.49,18095659,High Growth,Low,Low,Medium
2011-02-13,4805347.0,1114.985714,328096.0,21.41015378,12.89698757,89.04028571,1849.26,1649.0,18097628,High Growth,Low,Low,Medium
2011-02-14,5328513.0,1113.842857,328096.0,21.81504108,13.03412682,89.05264286,1849.95,1650.02,18099596,High Growth,Low,Low,Medium
2011-02-15,5687814.0,1112.7,328096.0,22.21992838,13.17126606,89.065,1850.25,1651.81,18101565,High Growth,Low,Low,Medium
2011-02-16,6094336.0,1111.557143,328096.0,22.62481567,13.30840531,89.07735714,1850.77,1652.85,18103534,High Growth,Low,Low,Medium
2011-02-17,6050472.0,1110.414286,328096.0,23.02970297,13.44554455,89.08971429,1851.25,1653.52,18105502,High Growth,Low,Low,Medium
2011-02-18,6719157.0,1109.271429,328096.0,23.43459027,13.5826838,89.10207143,1851.89,1654.64,18107471,High Growth,Low,Low,Medium
2011-02-19,6689688.0,1108.128571,328096.0,23.83947756,13.71982305,89.11442857,1852.51,1655.45,18109440,High Growth,Low,Low,Medium
2011-02-20,5678429.0,1106.985714,328096.0,24.24436486,13.85696229,89.12678571,1852.87,1655.91,18111408,High Growth,Low,Low,Medium
2011-02-21,6363049.0,1105.842857,328096.0,24.64925216,13.99410154,89.13914286,1853.59,1658.15,18113377,High Growth,Low,Medium,Medium
2011-02-22,6381021.0,1104.7,328096.0,25.05413946,14.13124078,89.1515,1856.39,1662.41,18115346,High Growth,Low,Medium,Medium
2011-02-23,6406449.0,1103.557143,328096.0,25.45902675,14.26838003,89.16385714,1858.95,1664.82,18117314,High Growth,Low,Medium,Medium
2011-02-24,6481902.0,1102.414286,328096.0,25.86391405,14.40551928,89.17621429,1861.79,1668.51,18119283,High Growth,Low,Medium,Medium
2011-02-25,7054383.0,1101.271429,328096.0,26.26880135,14.54265852,89.18857143,1864.57,1671.5,18121252,High Growth,Low,Medium,Medium
2011-02-26,7054578.0,1100.128571,328096.0,26.67368865,14.67979777,89.20092857,1866.6,1673.61,18123220,High Growth,Low,Medium,High
2011-02-27,4965985.0,1098.985714,328096.0,27.07857594,14.81693701,89.21328571,1867.5,1674.48,18125189,High Growth,Low,Medium,High
2011-02-28,6589958.0,1097.842857,328096.0,27.48346324,14.95407626,89.22564286,1869.75,1677.12,18127158,High Growth,Low,High,High
2011-03-01,5649904.0,1096.7,328096.0,27.88835054,15.0912155,89.238,1877.24,1684.26,18129127,High Growth,Low,High,High
2011-03-02,6003694.0,1095.887097,328096.0,28.29323783,15.22835475,89.24080645,1886.0,1693.06,18130715,High Growth,Low,High,High
2011-03-03,5988833.0,1095.074194,328096.0,28.69812513,15.365494,89.2436129,1891.78,1698.87,18132304,High Growth,Low,High,High
2011-03-04,6455085.0,1094.26129,328096.0,28.67048662,15.74211081,89.24641935,1897.1,1704.46,18133893,High Growth,Low,High,High
2011-03-05,6342816.0,1093.448387,328096.0,28.49742996,16.19924163,89.24922581,1901.83,1709.07,18135482,High Growth,Low,High,High
2011-03-06,5201127.0,1092.635484,328096.0,28.32437329,16.65637245,89.25203226,1904.1,1711.15,18137071,High Growth,Low,High,High
2011-03-07,6111602.0,1091.822581,328096.0,28.15131662,17.11350327,89.25483871,1908.06,1715.67,18138659,High Growth,Low,High,High
2011-03-08,6055938.0,1091.009677,328096.0,27.97825995,17.57063408,89.25764516,1916.81,1726.4,18140248,High Growth,Low,High,High
2011-03-09,5999609.0,1090.196774,328096.0,27.80520329,18.0277649,89.26045161,1923.71,1734.78,18141837,High Growth,Low,High,High
2011-03-10,6095428.0,1089.383871,328096.0,27.63214662,18.48489572,89.26325806,1930.22,1742.71,18143426,High Growth,Low,High,High
2011-03-11,6676256.0,1088.570968,328096.0,27.45908995,18.94202654,89.26606452,1935.47,1749.06,18145015,High Growth,Low,High,High
2011-03-12,6851891.0,1087.758065,328096.0,27.28603328,19.39915736,89.26887097,1939.45,1753.27,18146603,High Growth,Low,High,High
2011-03-13,5752912.0,1086.945161,328096.0,27.11297662,19.85628818,89.27167742,1941.03,1754.99,18148192,High Growth,Low,High,High
2011-03-14,6148690.0,1086.132258,328096.0,26.93991995,20.313419,89.27448387,1943.63,1758.26,18149781,High Growth,Low,High,High
2011-03-15,6084114.0,1085.319355,328096.0,26.76686328,20.77054982,89.27729032,1946.71,1762.64,18151370,High Growth,Low,High,High
2011-03-16,6028189.0,1084.506452,328096.0,26.59380661,21.22768064,89.28009677,1949.07,1765.54,18152959,High Growth,Low,High,High
2011-03-17,6112393.0,1083.693548,328096.0,26.42074995,21.68481146,89.28290323,1951.28,1768.33,18154547,High Growth,Low,High,High
2011-03-18,6595094.0,1082.880645,328096.0,26.24769328,22.14194228,89.28570968,1953.45,1771.15,18156136,High Growth,Low,High,High
2011-03-19,6688576.0,1082.067742,328096.0,26.07463661,22.5990731,89.28851613,1955.29,1773.5,18157725,High Growth,Low,High,High
2011-03-20,4899161.0,1081.254839,328096.0,25.90157995,23.05620392,89.29132258,1956.27,1774.62,18159314,High Growth,Low,High,High
2011-03-21,6197573.0,1080.441935,328096.0,25.72852328,23.51333474,89.29412903,1957.93,1777.13,18160903,High Growth,Low,High,High
2011-03-22,6123165.0,1079.629032,328096.0,25.55546661,23.97046556,89.29693548,1959.15,1781.33,18162491,High Growth,Low,High,High
2011-03-23,6171781.0,1078.816129,328096.0,25.38240994,24.42759638,89.29974194,1960.24,1784.07,18164080,High Growth,Low,High,High
2011-03-24,6121910.0,1078.003226,328096.0,25.20935328,24.8847272,89.30254839,1961.44,1786.43,18165669,High Growth,Low,High,High
2011-03-25,6647118.0,1077.190323,328096.0,25.03629661,25.34185802,89.30535484,1962.76,1788.55,18167258,High Growth,Low,High,High
2011-03-26,7077040.0,1076.377419,328096.0,24.86323994,25.79898884,89.30816129,1963.67,1790.1,18168847,High Growth,Low,High,High
2011-03-27,5877118.0,1075.564516,328096.0,24.69018327,26.25611965,89.31096774,1964.15,1790.78,18170435,High Growth,Low,High,High
2011-03-28,6227638.0,1074.751613,328096.0,24.51712661,26.71325047,89.31377419,1965.12,1792.4,18172024,High Growth,Low,High,High
2011-03-29,6250402.0,1073.93871,328096.0,24.34406994,27.17038129,89.31658065,1968.1,1795.25,18173613,High Growth,Low,High,High
2011-03-30,6258097.0,1073.125806,328096.0,24.17101327,27.62751211,89.3193871,1969.17,1796.87,18175202,High Growth,Low,High,High
2011-03-31,6229603.0,1072.312903,328096.0,23.9979566,28.08464293,89.32219355,1969.79,1798.01,18176791,High Growth,Low,High,High
2011-04-01,6744285.0,1071.5,343678.8,23.82489994,28.54177375,89.325,1970.48,1799.56,18178380,Moderate Growth,Low,High,High
2011-04-02,6987777.0,1071.756667,343678.8,23.65184327,28.99890457,89.33073333,1970.9,1800.4,18179693,Moderate Growth,Low,High,High
2011-04-03,6088540.0,1072.013333,343678.8,23.49279545,29.39719823,89.33646667,1971.06,1800.77,18181007,Moderate Growth,Low,High,High
2011-04-04,6383474.0,1072.27,343678.8,23.43402149,29.37434169,89.3422,1971.28,1801.41,18182321,Moderate Growth,Low,High,High
2011-04-05,6464474.0,1072.526667,343678.8,23.37524752,29.35148515,89.34793333,1971.37,1801.84,18183635,Moderate Growth,Low,High,High
2011-04-06,6577184.0,1072.783333,343678.8,23.31647356,29.32862861,89.35366667,1970.92,1801.62,18184948,Moderate Growth,Low,High,High
2011-04-07,5757511.0,1073.04,343678.8,23.2576996,29.30577207,89.3594,1955.8,1788.45,18186262,Moderate Growth,Low,High,High
2011-04-08,6998424.0,1073.296667,343678.8,23.19892564,29.28291553,89.36513333,1949.64,1784.32,18187576,Moderate Growth,Low,High,High
2011-04-09,7685800.0,1073.553333,343678.8,23.14015167,29.26005898,89.37086667,1946.93,1782.77,18188890,Moderate Growth,Low,High,High
2011-04-10,6445664.0,1073.81,343678.8,23.08137771,29.23720244,89.3766,1945.99,1782.09,18190203,Moderate Growth,Low,High,High
2011-04-11,6486259.0,1074.066667,343678.8,23.02260375,29.2143459,89.38233333,1943.65,1781.08,18191517,Moderate Growth,Low,High,High
2011-04-12,6445323.0,1074.323333,343678.8,22.96382979,29.19148936,89.38806667,1945.13,1784.61,18192831,Moderate Growth,Low,High,High
2011-04-13,6439645.0,1074.58,343678.8,22.90505582,29.16863282,89.3938,1944.77,1785.44,18194145,Moderate Growth,Low,High,High
2011-04-14,6501186.0,1074.836667,343678.8,22.84628186,29.14577628,89.39953333,1944.59,1786.6,18195458,Moderate Growth,Low,High,High
2011-04-15,6926605.0,1075.093333,343678.8,22.7875079,29.12291974,89.40526667,1944.45,1787.66,18196772,Moderate Growth,Low,High,High
2011-04-16,7255536.0,1075.35,343678.8,22.72873394,29.1000632,89.411,1944.53,1788.78,18198086,Moderate Growth,Low,High,High
2011-04-17,6358499.0,1075.606667,343678.8,22.66995997,29.07720666,89.41673333,1944.61,1789.18,18199400,Moderate Growth,Low,High,High
2011-04-18,6199872.0,1075.863333,343678.8,22.61118601,29.05435012,89.42246667,1944.69,1790.13,18200714,Moderate Growth,Low,High,High
2011-04-19,6388659.0,1076.12,343678.8,22.55241205,29.03149357,89.4282,1945.97,1792.02,18202027,Moderate Growth,Low,High,High
2011-04-20,6482024.0,1076.376667,343678.8,22.49363809,29.00863703,89.43393333,1946.5,1793.58,18203341,Moderate Growth,Low,High,High
2011-04-21,6552592.0,1076.633333,343678.8,22.43486412,28.98578049,89.43966667,1946.76,1794.59,18204655,Moderate Growth,Low,High,High
2011-04-22,6401309.0,1076.89,343678.8,22.37609016,28.96292395,89.4454,1946.91,1795.48,18205969,Moderate Growth,Low,High,High
2011-04-23,7255154.0,1077.146667,343678.8,22.3173162,28.94006741,89.45113333,1946.85,1796.02,18207282,Moderate Growth,Low,High,High
2011-04-24,6206911.0,1077.403333,343678.8,22.25854224,28.91721087,89.45686667,1946.94,1796.24,18208596,Moderate Growth,Low,High,High
2011-04-25,6573221.0,1077.66,343678.8,22.19976827,28.89435433,89.4626,1946.88,1796.83,18209910,Moderate Growth,Low,High,High
2011-04-26,6000620.0,1077.916667,343678.8,22.14099431,28.87149779,89.46833333,1946.84,1796.62,18211224,Moderate Growth,Low,High,High
2011-04-27,6321820.0,1078.173333,343678.8,22.08222035,28.84864125,89.47406667,1946.58,1796.56,18212537,Moderate Growth,Low,High,High
2011-04-28,6604444.0,1078.43,343678.8,22.02344639,28.82578471,89.4798,1946.2,1796.45,18213851,Moderate Growth,Low,High,High
2011-04-29,7080188.0,1078.686667,343678.8,21.96467242,28.80292817,89.48553333,1946.05,1796.45,18215165,Moderate Growth,Low,High,High
2011-04-30,6080154.0,1078.943333,343678.8,21.90589846,28.78007162,89.49126667,1945.94,1796.29,18216479,Moderate Growth,Low,High,High
2011-05-01,5709364.0,1079.2,343678.8,21.8471245,28.75721508,89.497,1945.74,1796.21,18217793,Moderate Growth,Low,High,High
2011-05-02,6519956.0,1078.829032,343678.8,21.78835054,28.73435854,89.50258065,1945.82,1796.18,18219250,Moderate Growth,Low,High,High
2011-05-03,6533780.0,1078.458065,343678.8,21.72957657,28.711502,89.50816129,1949.37,1796.49,18220707,Moderate Growth,Low,High,High
2011-05-04,7241471.0,1078.087097,343678.8,21.52805983,28.64160522,89.51374194,1950.58,1796.62,18222165,Moderate Growth,Low,High,High
2011-05-05,6574386.0,1077.716129,343678.8,21.18194649,28.5240573,89.51932258,1951.16,1796.76,18223622,Moderate Growth,Low,High,High
2011-05-06,7251112.0,1077.345161,343678.8,20.83583316,28.40650937,89.52490323,1951.6,1796.75,18225080,Moderate Growth,Low,High,High
2011-05-07,7930559.0,1076.974194,343678.8,20.48971982,28.28896145,89.53048387,1951.96,1796.77,18226537,Moderate Growth,Low,High,High
2011-05-08,7835998.0,1076.603226,343678.8,20.14360649,28.17141352,89.53606452,1952.16,1796.73,18227994,Moderate Growth,Low,High,High
2011-05-09,7070168.0,1076.232258,343678.8,19.79749315,28.0538656,89.54164516,1952.32,1796.6,18229452,Moderate Growth,Low,High,High
2011-05-10,5391637.0,1075.86129,343678.8,19.45137982,27.93631767,89.54722581,1951.04,1793.96,18230909,Moderate Growth,Low,High,High
2011-05-11,5918923.0,1075.490323,343678.8,19.10526648,27.81876975,89.55280645,1950.52,1792.8,18232367,Moderate Growth,Low,High,High
2011-05-12,6426726.0,1075.119355,343678.8,18.75915315,27.70122182,89.5583871,1949.56,1790.71,18233824,Moderate Growth,Low,High,High
2011-05-13,7196068.0,1074.748387,343678.8,18.41303981,27.5836739,89.56396774,1948.15,1787.82,18235282,Moderate Growth,Low,High,High
2011-05-14,7474648.0,1074.377419,343678.8,18.06692648,27.46612597,89.56954839,1947.39,1785.79,18236739,Moderate Growth,Low,High,High
2011-05-15,6375145.0,1074.006452,343678.8,17.72081315,27.34857805,89.57512903,1947.04,1784.87,18238196,Moderate Growth,Low,High,High
2011-05-16,6609501.0,1073.635484,343678.8,17.37469981,27.23103012,89.58070968,1946.29,1783.11,18239654,Moderate Growth,Low,High,High
2011-05-17,6569088.0,1073.264516,343678.8,17.02858648,27.1134822,89.58629032,1943.59,1778.22,18241111,Moderate Growth,Low,High,High
2011-05-18,6561438.0,1072.893548,343678.8,16.68247314,26.99593427,89.59187097,1940.11,1772.25,18242569,Moderate Growth,Low,High,High
2011-05-19,6517377.0,1072.522581,343678.8,16.33635981,26.87838635,89.59745161,1937.5,1767.27,18244026,Moderate Growth,Low,High,High
2011-05-20,6841130.0,1072.151613,343678.8,15.99024647,26.76083842,89.60303226,1935.06,1762.75,18245483,Moderate Growth,Low,Medium,High
2011-05-21,6944443.0,1071.780645,343678.8,15.64413314,26.6432905,89.6086129,1933.35,1759.31,18246941,Moderate Growth,Low,Medium,High
2011-05-22,6074603.0,1071.409677,343678.8,15.2980198,26.52574257,89.61419355,1932.62,1757.85,18248398,Moderate Growth,Low,Medium,High
2011-05-23,6463235.0,1071.03871,343678.8,14.95190647,26.40819465,89.61977419,1930.91,1754.54,18249856,Moderate Growth,Low,Medium,High
2011-05-24,6515018.0,1070.667742,343678.8,14.60579313,26.29064672,89.62535484,1926.55,1749.77,18251313,Moderate Growth,Low,Medium,High
2011-05-25,6585582.0,1070.296774,343678.8,14.2596798,26.1730988,89.63093548,1923.19,1745.71,18252771,Moderate Growth,Low,Medium,High
2011-05-26,6268522.0,1069.925806,343678.8,13.91356646,26.05555087,89.63651613,1920.47,1742.22,18254228,Moderate Growth,Low,Medium,High
2011-05-27,7144776.0,1069.554839,343678.8,13.56745313,25.93800295,89.64209677,1918.41,1739.59,18255685,Moderate Growth,Low,Medium,High
2011-05-28,7553753.0,1069.183871,343678.8,13.22133979,25.82045502,89.64767742,1917.16,1737.94,18257143,Moderate Growth,Low,Medium,High
2011-05-29,6224583.0,1068.812903,343678.8,12.87522646,25.7029071,89.65325806,1916.54,1736.77,18258600,Moderate Growth,Low,Medium,High
2011-05-30,6622962.0,1068.441935,343678.8,12.52911312,25.58535917,89.65883871,1915.35,1735.38,18260058,Moderate Growth,Low,Medium,High
2011-05-31,6289994.0,1068.070968,343678.8,12.18299979,25.46781125,89.66441935,1915.01,1734.45,18261515,Moderate Growth,Low,Medium,High
2011-06-01,6117140.0,1067.7,343678.8,11.83688645,25.35026332,89.67,1913.48,1732.01,18262973,Moderate Growth,Moderate,Medium,High
2011-06-02,6553615.0,1067.26,343678.8,11.49077312,25.2327154,89.6844,1912.61,1730.75,18264559,Moderate Growth,Moderate,Medium,High
2011-06-03,7175886.0,1066.82,343678.8,11.14465979,25.11516747,89.6988,1912.19,1730.24,18266145,Moderate Growth,Moderate,Medium,High
2011-06-04,7890751.0,1066.38,343678.8,11.38439014,25.15687803,89.7132,1911.84,1730.02,18267731,Moderate Growth,Moderate,Medium,High
2011-06-05,7452010.0,1065.94,343678.8,11.71091216,25.22218243,89.7276,1911.62,1729.53,18269317,Moderate Growth,Moderate,Medium,High
2011-06-06,7066663.0,1065.5,343678.8,12.03743417,25.28748683,89.742,1911.53,1729.38,18270904,Moderate Growth,Moderate,Medium,High
2011-06-07,6646494.0,1065.06,343678.8,12.36395618,25.35279124,89.7564,1911.26,1729.63,18272490,Moderate Growth,Moderate,High,High
2011-06-08,6533626.0,1064.62,343678.8,12.6904782,25.41809564,89.7708,1910.95,1729.45,18274076,Moderate Growth,Moderate,High,High
2011-06-09,6527840.0,1064.18,343678.8,13.01700021,25.48340004,89.7852,1910.86,1729.4,18275662,Moderate Growth,Moderate,High,High
2011-06-10,7147874.0,1063.74,343678.8,13.34352222,25.54870444,89.7996,1910.72,1729.3,18277248,Moderate Growth,Moderate,High,High
2011-06-11,7367539.0,1063.3,343678.8,13.67004424,25.61400885,89.814,1910.82,1729.45,18278835,Moderate Growth,Moderate,High,High
2011-06-12,6120502.0,1062.86,343678.8,13.99656625,25.67931325,89.8284,1910.89,1729.4,18280421,Moderate Growth,Moderate,High,High
2011-06-13,6608758.0,1062.42,343678.8,14.32308827,25.74461765,89.8428,1910.99,1729.64,18282007,Moderate Growth,Moderate,High,High
2011-06-14,6571956.0,1061.98,343678.8,14.64961028,25.80992206,89.8572,1912.0,1731.15,18283593,Moderate Growth,Moderate,High,High
2011-06-15,6587767.0,1061.54,343678.8,14.97613229,25.87522646,89.8716,1912.99,1732.63,18285179,Moderate Growth,Moderate,High,High
2011-06-16,6632851.0,1061.1,343678.8,15.30265431,25.94053086,89.886,1913.79,1733.64,18286766,Moderate Growth,Moderate,High,High
2011-06-17,7165432.0,1060.66,343678.8,15.62917632,26.00583526,89.9004,1914.77,1735.41,18288352,Moderate Growth,Moderate,High,High
2011-06-18,7372098.0,1060.22,343678.8,15.95569834,26.07113967,89.9148,1915.75,1736.8,18289938,Moderate Growth,Moderate,High,High
2011-06-19,6139062.0,1059.78,343678.8,16.28222035,26.13644407,89.9292,1916.22,1737.39,18291524,Moderate Growth,Moderate,High,High
2011-06-20,6643723.0,1059.34,343678.8,16.60874236,26.20174847,89.9436,1917.21,1738.96,18293110,Moderate Growth,Moderate,High,High
2011-06-21,6658196.0,1058.9,343678.8,16.93526438,26.26705288,89.958,1918.73,1741.63,18294697,Moderate Growth,Moderate,High,High
2011-06-22,6363419.0,1058.46,343678.8,17.26178639,26.33235728,89.9724,1919.87,1743.57,18296283,Moderate Growth,Moderate,High,High
2011-06-23,5981398.0,1058.02,343678.8,17.58830841,26.39766168,89.9868,1920.75,1745.0,18297869,Moderate Growth,Moderate,High,High
2011-06-24,6567194.0,1057.58,343678.8,17.91483042,26.46296608,90.0012,1921.39,1746.06,18299455,Moderate Growth,Moderate,High,High
2011-06-25,6289058.0,1057.14,343678.8,18.24135243,26.52827049,90.0156,1921.84,1746.62,18301041,Moderate Growth,Moderate,High,High
2011-06-26,4476597.0,1056.7,343678.8,18.56787445,26.59357489,90.03,1922.05,1746.84,18302628,Moderate Growth,Moderate,High,High
2011-06-27,6119832.0,1056.26,343678.8,18.89439646,26.65887929,90.0444,1922.47,1747.25,18304214,Moderate Growth,Moderate,High,High
2011-06-28,6543367.0,1055.82,343678.8,19.22091847,26.72418369,90.0588,1921.8,1746.28,18305800,Moderate Growth,Moderate,High,High
2011-06-29,5842066.0,1055.38,343678.8,19.54744049,26.7894881,90.0732,1921.57,1745.87,18307386,Moderate Growth,Moderate,High,High
2011-06-30,6034378.0,1054.94,343678.8,19.8739625,26.8547925,90.0876,1921.43,1745.98,18308972,Moderate Growth,Moderate,High,High
2011-07-01,6920843.0,1054.5,349987.0,20.20048452,26.9200969,90.102,1921.22,1745.63,18310559,Moderate Growth,Moderate,High,High
2011-07-02,7132061.0,1054.896774,349987.0,20.52700653,26.98540131,90.12151613,1921.46,1745.78,18311136,Moderate Growth,Moderate,High,High
2011-07-03,4994444.0,1055.293548,349987.0,20.85352854,27.05070571,90.14103226,1921.63,1745.86,18311713,Moderate Growth,Moderate,High,High
2011-07-04,6308411.0,1055.690323,349987.0,21.13522225,27.12241416,90.16054839,1921.62,1746.12,18312290,Moderate Growth,Moderate,High,High
2011-07-05,6531080.0,1056.087097,349987.0,21.27889193,27.21384032,90.18006452,1921.5,1745.8,18312867,Moderate Growth,Moderate,High,High
2011-07-06,6485679.0,1056.483871,349987.0,21.42256162,27.30526648,90.19958065,1921.86,1746.19,18313444,Moderate Growth,Moderate,High,High
2011-07-07,5952838.0,1056.880645,349987.0,21.5662313,27.39669265,90.21909677,1919.33,1743.61,18314021,Moderate Growth,Moderate,High,High
2011-07-08,6843646.0,1057.277419,349987.0,21.70990099,27.48811881,90.2386129,1920.5,1744.18,18314598,Moderate Growth,Moderate,High,High
2011-07-09,6541698.0,1057.674194,349987.0,21.85357068,27.57954498,90.25812903,1921.61,1744.8,18315176,Moderate Growth,Moderate,High,High
2011-07-10,5498423.0,1058.070968,349987.0,21.99724036,27.67097114,90.27764516,1922.07,1744.92,18315753,Moderate Growth,Moderate,High,High
2011-07-11,5975041.0,1058.467742,349987.0,22.14091005,27.7623973,90.29716129,1923.2,1745.6,18316330,Moderate Growth,Moderate,High,High
2011-07-12,5921976.0,1058.864516,349987.0,22.28457973,27.85382347,90.31667742,1928.16,1748.98,18316907,Moderate Growth,Moderate,High,High
2011-07-13,5975859.0,1059.26129,349987.0,22.42824942,27.94524963,90.33619355,1931.04,1751.05,18317484,Moderate Growth,Moderate,High,High
2011-07-14,6069973.0,1059.658065,349987.0,22.57191911,28.0366758,90.35570968,1932.89,1752.15,18318061,Moderate Growth,Moderate,High,High
